"Model","Cluster","Absolute Humidity (14-day Lag)","Retail and Recreation (14-day Lag)","Grocery Stores and Pharmacies (14-day Lag)","Parks (14-day Lag)","Transit Stations (14-day Lag)","Workplaces (14-day Lag)","Residential (14-day Lag)","Immunity Factor","New Cases per 100,000 (14-day Lag)","FIPS"
"Absolute Humidity (Oct 2020 - Mar 2021)","Mid 1",1.58341196707554,NA,NA,NA,NA,NA,NA,1.87574951910038,1.30214298750627,1.00639997020231
"Retail and Rec (Oct 2020 - Mar 2021)","Mid 1",1.67935633042613,1.73661746986483,NA,NA,NA,NA,NA,1.83550479850861,1.32745403612074,1.01134865534373
"Grocery and Pharmacy (Oct 2020 - Mar 2021)","Mid 1",1.53706345067043,NA,1.58685161001359,NA,NA,NA,NA,1.85927532718138,1.31616130762595,1.01073085331843
"Parks (Oct 2020 - Mar 2021)","Mid 1",1.90440108893505,NA,NA,1.99193569099836,NA,NA,NA,1.91247012956171,1.29456991569295,1.01075569334476
"Transit (Oct 2020 - Mar 2021)","Mid 1",1.65828745854247,NA,NA,NA,2.87355438803291,NA,NA,1.91586967482471,1.28777452573217,1.01667593131936
"Workplaces (Oct 2020 - Mar 2021)","Mid 1",1.59734991531328,NA,NA,NA,NA,1.33023274249465,NA,1.9105140180048,1.28436518803728,1.00882569473584
"Residential (Oct 2020 - Mar 2021)","Mid 1",1.66361202265464,NA,NA,NA,NA,NA,1.77486093993886,1.96444905487517,1.27718669203676,1.01111332155721
"All (Entire Year)","Mid 1",1.62210112809686,3.59407634659531,2.1970235561706,2.05592966130381,3.11511142340894,3.52483011798715,5.14284107155922,1.77287540593094,1.36424658956824,1.02478278779244
"Absolute Humidity (Entire Year)","Mid 1",1.25419541698171,NA,NA,NA,NA,NA,NA,1.42518257587597,1.35333678117304,1.00375778385701
"Retail and Rec (Entire Year)","Mid 1",1.23847393669041,1.15865077622316,NA,NA,NA,NA,NA,1.40197737555374,1.36808450049685,1.00496744530781
"Grocery and Pharmacy (Entire Year)","Mid 1",1.23601474423491,NA,1.31433447763817,NA,NA,NA,NA,1.48173405680169,1.36283891260212,1.00576685439529
"Parks (Entire Year)","Mid 1",1.59690404304965,NA,NA,1.79456849810539,NA,NA,NA,1.44477569134054,1.35361366928691,1.00666087858844
"Transit (Entire Year)","Mid 1",1.27716512252435,NA,NA,NA,1.78921125103485,NA,NA,1.42244802202437,1.36282739341201,1.00870771820192
"Workplaces (Entire Year)","Mid 1",1.24898874296931,NA,NA,NA,NA,1.13975773552757,NA,1.42556453892682,1.36804389966926,1.00484329748593
"Residential (Entire Year)","Mid 1",1.26047511082245,NA,NA,NA,NA,NA,1.17671430205046,1.42626007416369,1.37511785892059,1.00509224556589
"All (Mar 2020 - Sep 2020)","Mid 2",1.91542874423605,5.12113750215813,2.40252392507371,2.65188454370097,5.20091180604241,7.44794324698887,8.39098996824616,1.86021100400076,1.29172416527185,1.03822943490171
"Absolute Humidity (Mar 2020 - Sep 2020)","Mid 2",1.30549116657721,NA,NA,NA,NA,NA,NA,1.64981611842339,1.2355529614661,1.0063459136903
"Retail and Rec (Mar 2020 - Sep 2020)","Mid 2",1.33018915490246,1.2018320037933,NA,NA,NA,NA,NA,1.69972265687241,1.23676510694378,1.00752155744517
"Grocery and Pharmacy (Mar 2020 - Sep 2020)","Mid 2",1.33393862635319,NA,1.3306806342983,NA,NA,NA,NA,1.80096750577703,1.24223820012608,1.00792481239059
"Parks (Mar 2020 - Sep 2020)","Mid 2",1.6345117091084,NA,NA,1.98509930198341,NA,NA,NA,1.64671151746852,1.23994562227163,1.01189668764319
"Transit (Mar 2020 - Sep 2020)","Mid 2",1.3128141098211,NA,NA,NA,1.53302240397553,NA,NA,1.68755726483635,1.23652651586327,1.01001003188511
"Workplaces (Mar 2020 - Sep 2020)","Mid 2",1.30701407422237,NA,NA,NA,NA,1.1858662255186,NA,1.6956658141837,1.23626778948179,1.00772936366509
"Residential (Mar 2020 - Sep 2020)","Mid 2",1.33102506552747,NA,NA,NA,NA,NA,1.27030075229,1.67498799817228,1.23806843163645,1.00821431458146
"All (Oct 2020 - Mar 2021)","Mid 2",1.84547906503648,4.25110785244809,2.96180825495848,2.65426633258926,4.47126038411123,3.68718153282107,5.84600044466301,1.92088689152249,2.02572491267283,1.05524102506724
"Absolute Humidity (Oct 2020 - Mar 2021)","Mid 2",1.55580003055091,NA,NA,NA,NA,NA,NA,1.72447964889758,2.06379184743378,1.01195783383315
"Retail and Rec (Oct 2020 - Mar 2021)","Mid 2",1.59951035833028,2.01156075793047,NA,NA,NA,NA,NA,1.76842203200583,2.07799492912938,1.01890653069817
"Grocery and Pharmacy (Oct 2020 - Mar 2021)","Mid 2",1.5286617912448,NA,1.76045464658143,NA,NA,NA,NA,1.75349053961012,2.02414543007146,1.01733092420115
"Parks (Oct 2020 - Mar 2021)","Mid 2",1.86205448176004,NA,NA,1.99102116625341,NA,NA,NA,1.75651233166943,2.06655313865002,1.01808438157209
"Transit (Oct 2020 - Mar 2021)","Mid 2",1.61029946069616,NA,NA,NA,3.90361765818781,NA,NA,1.81317242020535,2.08594479860985,1.02582898632614
"Workplaces (Oct 2020 - Mar 2021)","Mid 2",1.55415557051963,NA,NA,NA,NA,1.45185100677295,NA,1.7615025486898,2.15136210457024,1.01607173954065
"Residential (Oct 2020 - Mar 2021)","Mid 2",1.60999517093438,NA,NA,NA,NA,NA,2.03814523094233,1.85247648024203,2.11657244160487,1.01891660757755
"All (Entire Year)","Mid 2",1.81419444219133,3.61136539159816,2.29608421164749,2.08650807521721,3.33903761143925,3.47495768457368,5.08324049199968,1.79421018237961,2.19711494970039,1.03612920917498
"Absolute Humidity (Entire Year)","Mid 2",1.43693645874621,NA,NA,NA,NA,NA,NA,1.44008378192039,2.11409229247244,1.0099543272505
"Retail and Rec (Entire Year)","Mid 2",1.41109593752688,1.22339038589864,NA,NA,NA,NA,NA,1.42238980804386,2.11545338533703,1.01169204021182
"Grocery and Pharmacy (Entire Year)","Mid 2",1.42081287553753,NA,1.35529108153575,NA,NA,NA,NA,1.51205296346553,2.1042600072993,1.01225319730655
"Parks (Entire Year)","Mid 2",1.74897466040836,NA,NA,1.77905880273236,NA,NA,NA,1.44215149613184,2.12384562694597,1.01458554836947
"Transit (Entire Year)","Mid 2",1.45717969950622,NA,NA,NA,1.97287202875558,NA,NA,1.44349721587498,2.13332399218929,1.01615123270589
"Workplaces (Entire Year)","Mid 2",1.44879043926974,NA,NA,NA,NA,1.21263750520001,NA,1.45831044505336,2.14098189760838,1.01177446408712
"Residential (Entire Year)","Mid 2",1.44271735018378,NA,NA,NA,NA,NA,1.25736869412559,1.45423229342741,2.13339303248648,1.01190255850555
